first_event	event_time	difference	modulated
333302.508000	335651.872000	2349.364000	-0.012968
333302.508000	335763.236000	2460.728000	0.006152
333302.508000	335841.176000	2538.668000	0.004736
333302.508000	335896.832000	2594.324000	-0.011704
333302.508000	336019.328000	2716.820000	0.004928
333302.508000	336074.988000	2772.480000	-0.007512
333302.508000	336097.256000	2794.748000	-0.008488
333302.508000	336130.656000	2828.148000	-0.011952
333302.508000	336197.480000	2894.972000	0.005120
333302.508000	336275.420000	2972.912000	0.003704
333302.508000	336353.360000	3050.852000	0.002288
333302.508000	336453.572000	3151.064000	0.003896
333302.508000	336531.512000	3229.004000	0.002480
333302.508000	336709.664000	3407.156000	0.002672
333302.508000	336787.604000	3485.096000	0.001256
333302.508000	336887.816000	3585.308000	0.002864
333302.508000	336965.756000	3663.248000	0.001448
333302.508000	337043.700000	3741.192000	0.004032
333302.508000	337065.968000	3763.460000	0.003056
333302.508000	337143.908000	3841.400000	0.001640
333302.508000	337322.060000	4019.552000	0.001832
452721.508000	452721.508000	0.000000	0.000000
462719.004000	462719.004000	0.000000	0.000000
472728.480000	472728.480000	0.000000	0.000000
492725.076000	492725.076000	0.000000	0.000000
533523.904000	533523.904000	0.000000	0.000000
533523.904000	533601.844000	77.940000	-0.001416
533523.904000	533679.784000	155.880000	-0.002832
533523.904000	533857.936000	334.032000	-0.002640
533523.904000	534203.096000	679.192000	-0.011768
533523.904000	534258.768000	734.864000	-0.012208
533523.904000	534281.036000	757.132000	-0.013184
533523.904000	534336.708000	812.804000	-0.013624
533523.904000	534459.188000	935.284000	-0.012992
533523.904000	534470.328000	946.424000	-0.007480
533523.904000	534492.592000	968.688000	-0.012456
533523.904000	534514.860000	990.956000	-0.013432
533523.904000	534570.532000	1046.628000	-0.013872
533523.904000	534648.476000	1124.572000	-0.011288
533523.904000	534748.684000	1224.780000	-0.013680
533523.904000	535272.004000	1748.100000	-0.014616
533523.904000	535305.404000	1781.500000	-0.018080
533523.904000	535349.944000	1826.040000	-0.016032
533523.904000	535383.344000	1859.440000	-0.019496
533523.904000	535394.484000	1870.580000	-0.013984
533523.904000	535405.616000	1881.712000	-0.016472
533523.904000	535427.884000	1903.980000	-0.017448
533523.904000	535472.424000	1948.520000	-0.015400
533523.904000	535483.556000	1959.652000	-0.017888
533523.904000	535505.824000	1981.920000	-0.018864
533523.904000	535528.096000	2004.192000	-0.015840
533523.904000	535561.496000	2037.592000	-0.019304
533523.904000	535583.764000	2059.860000	-0.020280
533523.904000	535606.036000	2082.132000	-0.017256
533523.904000	535628.304000	2104.400000	-0.018232
533523.904000	535639.436000	2115.532000	-0.020720
533523.904000	535650.576000	2126.672000	-0.015208
533523.904000	535661.708000	2137.804000	-0.017696
533523.904000	535683.976000	2160.072000	-0.018672
533523.904000	535706.248000	2182.344000	-0.015648
533523.904000	535717.376000	2193.472000	-0.022136
533523.904000	535739.648000	2215.744000	-0.019112
533523.904000	535761.916000	2238.012000	-0.020088
533523.904000	535784.188000	2260.284000	-0.017064
533523.904000	535817.588000	2293.684000	-0.020528
533523.904000	535839.856000	2315.952000	-0.021504
533523.904000	535862.128000	2338.224000	-0.018480
533523.904000	535917.800000	2393.896000	-0.018920
533523.904000	535940.068000	2416.164000	-0.019896
533523.904000	535962.340000	2438.436000	-0.016872
533523.904000	535995.740000	2471.836000	-0.020336

